City,Club Name,Location,Website,Strava Club Link,Social Media
New York,We Are NYC Running Club,,https://wearenycrc.company.site/,,https://www.instagram.com/wearenycrc
New York,We Run Uptown,Manhattan,https://werunuptown.com/,,https://www.instagram.com/wrucrew
New York,West Side Runners,,https://news.wsxnyc.org/,,https://www.instagram.com/p/CyeGKwYvfYO/?hl=en
New York,WilPower Fitness,Manhattan,,,https://www.instagram.com/wil_power
New York,World's Fair Run Crew,Queens,https://www.worldsfairruncrew.com/,https://www.strava.com/clubs/worldsfairruncrew,https://www.instagram.com/worldsfairruncrew
New York,Yonkers Running Project,Yonkers,,,https://www.instagram.com/yonkersrunningproject
Boston,Boston Athletic Association,Boston,https://www.baa.org,https://www.strava.com/clubs/boston-athletic-association-205391,https://twitter.com/BAA
Boston,Boston Road Runners,Boston,https://www.bostonroadrunners.org/,https://www.strava.com/clubs/boston-road-runners-229431,https://www.instagram.com/bostonroadrunners/
Boston,Brighton Bangers,Brighton,https://brightonbangers.com/,https://www.strava.com/clubs/170369,https://www.instagram.com/brightonbangers
Boston,Heartbreakers Boston,Multiple Boston Locations,https://heartbreak.run/pages/boston,,https://www.instagram.com/heartbreak.bos/
Boston,Tracksmith Amateur Track Club,Boston,https://www.tracksmith.com/pages/hare-ac,https://www.strava.com/clubs/tracksmith,https://instagram.com/tracksmithrunning
Boston,Cambridge Running Club,Cambridge,https://www.cambridgerunning.org/,https://www.strava.com/clubs/47409,https://www.instagram.com/cambridgerunning/
Boston,Greater Boston Track Club,,https://www.gbtc.org/,https://www.strava.com/clubs/21438,https://www.instagram.com/gbtcrunning/?hl=en
Boston,Sole Sisters,Wilmington,https://www.solesisters01887.com/,https://www.strava.com/clubs/432922,https://www.instagram.com/solesistersrunning/
Boston,Notch Run Club,Brighton,https://metersforliters.com/,https://www.strava.com/clubs/239181,https://www.instagram.com/metersforliters/
Boston,1.5 Star Run Club,South Boston,,https://www.strava.com/clubs/1point5,https://www.instagram.com/runsouthie
Boston,Somerville Road Runners,Somerville,https://www.srr.org,https://www.strava.com/clubs/20712,https://www.instagram.com/somervilleroadrunners/
Chicago,Chicago Area Runners Association,Multiple Chicago Locations,https://cararuns.org,https://www.strava.com/clubs/cararuns,https://twitter.com/CARAruns
Chicago,3Run2,Multiple Chicago Locations,https://3run2.com,https://www.strava.com/clubs/3run2,https://instagram.com/3run2
Chicago,Fleet Feet Chicago,Multiple Chicago Locations,https://www.fleetfeetchicago.com,https://www.strava.com/clubs/fleetfeetchicago,https://instagram.com/fleetfeetchicago
Chicago,Run Uptown,Uptown,https://runuptown.com,https://www.strava.com/clubs/runuptown,https://instagram.com/runuptown
Chicago,GumboFit,Hyde Park ,https://solo.to/gumbofit,https://www.strava.com/clubs/584668,https://www.instagram.com/gumbofit/
Chicago,Logan Square Run Club,Logan Square,https://logansquarerunclub.com,,https://instagram.com/logansquarerunclub
Chicago,Front Runners Chicago,Lakeview,https://www.frontrunnerschicago.org,,https://www.instagram.com/frfwchicago
Los Angeles,Los Angeles Road Runners,Multiple LA Locations,https://www.mccourtfoundation.org/event/los-angeles-marathon/training/,,https://twitter.com/LARoadRunners
Los Angeles,Blacklist LA,Downtown LA,https://linktr.ee/BlacklistLA,https://www.strava.com/clubs/blacklistla,https://instagram.com/blacklistla
Los Angeles,Electric Flight Crew,Multiple LA Locations,https://electricathleticclub.com/,,https://www.instagram.com/electricathleticclub
Los Angeles,LA Leggers,Santa Monica,https://laleggers.org,https://www.strava.com/clubs/laleggers,https://instagram.com/laleggers
Los Angeles,Run With Us,Pasadena,https://runwithus.com,https://www.strava.com/clubs/runwithus,https://instagram.com/runwithuspasadena
San Francisco,San Francisco Road Runners Club,Multiple SF Locations,https://www.sfrrc.org,https://www.strava.com/clubs/sfrrc,https://twitter.com/SFRoadRunners
